epoch,train_rmse,val_rmse
1,4.859011600557382,3.8544372601071157
2,2.8629095043856623,1.7564749142674039
3,1.902714526468075,1.4904435437197852
4,1.670976322885318,1.4047770521495688
5,1.5128669566583153,1.2638184640754144
6,1.4345762410789311,1.2058334085815519
7,1.3535867697353967,1.1611781388171383
8,1.294868708814649,1.1092224553496766
9,1.256165634948636,1.0516868574458214
10,1.2102980626449482,1.0294816432203744
11,1.1636807154433744,0.9772246900410082
12,1.1547277401905727,0.9432338844376524
13,1.100373516265559,0.9161789347943518
14,1.0146619053828874,0.8731330982616387
15,1.0072032949661,0.8676237778758763
16,0.9908457641280906,0.8333488025818955
17,0.9480216589998522,0.8058028038090687
18,0.9195431427738732,0.7927666016533242
19,0.9187542127850196,0.7597677824092722
20,0.9041366954957821,0.7567230731116752
21,0.8879628766184369,0.7571897405763633
22,0.8713060603362707,0.7261166999462038
23,0.8505085270075465,0.7311319614573998
24,0.8510316278837106,0.7164284905462269
25,0.7980864637982419,0.7083880225741969
26,0.8605577997209388,0.7182429639907832
27,0.8309708930198063,0.7146129548260588
28,0.789229589247339,0.7014916203637989
29,0.8294780836892324,0.6866237735275518
30,0.8123298634913166,0.6737476466673904
31,0.8081158633250922,0.6955480926513297
32,0.7802333875545322,0.6841795237173744
33,0.7813377575850059,0.6940644024338084
34,0.7908571404736434,0.6621060666702123
35,0.7946898951808937,0.6681527670647343
36,0.7802655579483189,0.6825896381718352
37,0.7949304665638232,0.6688272636558638
38,0.7691977962314809,0.6641546073314943
39,0.7723346151197301,0.6800859752116497
40,0.770872443583739,0.6579712818815407
41,0.7694399358785722,0.6787816292153297
42,0.773264818126235,0.6648470339486661
43,0.7784398668475411,0.6988392018207404
44,0.7756428157287257,0.685858870150985
45,0.7628255524059466,0.6640247334231395
46,0.7593248706353986,0.6570956821123881
47,0.7661941403928108,0.7018627280489775
48,0.7445849622518073,0.6780886864497946
49,0.766963204414394,0.661361361827115
50,0.7672910463548956,0.6754808805754345
51,0.7564794057815742,0.6622140177178322
52,0.7341382578913653,0.6596056656742767
53,0.7324620627751725,0.6809999138150041
54,0.7685124308209723,0.6541821962890335
55,0.7494811956289325,0.6608542189197956
56,0.7501404924069706,0.6851301747213484
57,0.7369928827269028,0.6599113416367389
58,0.7139275837378749,0.6537606162600547
59,0.7579771355602624,0.6595025748187422
60,0.7211656527574253,0.6717685348969086
61,0.7496354970429329,0.6705155925260475
62,0.759857754329149,0.6533009023021059
63,0.7158400310247427,0.659822503772437
64,0.7357800505869104,0.6713808593494316
65,0.7502222312511677,0.6576094850973365
66,0.7034632765547021,0.6555327628595083
67,0.7286013358227105,0.6761133778003919
68,0.7485814380167854,0.6824335770894701
69,0.7442298960825247,0.6716057659357761
70,0.731777429497125,0.6565166340439849
71,0.739026865657861,0.684499173678672
72,0.7276161476661832,0.676902612385363
73,0.7117196599669479,0.6754094903891401
74,0.7331865011431998,0.6516217559288787
75,0.7285636305115671,0.6575164609016132
76,0.7198323179396373,0.6640325876118636
77,0.7147284553151532,0.6640322734460983
78,0.7264525348726042,0.6542219204457977
79,0.7233822166491306,0.6601012844700792
80,0.7146022851191526,0.6457240078797912
81,0.7147214489428618,0.6669394387070522
82,0.728338753847161,0.6539361443289066
83,0.716303224436574,0.6682231485557175
84,0.7293045212896436,0.6661741230326028
85,0.7159971008945591,0.6678703190965952
86,0.7021293143153072,0.664784431724984
87,0.7047433557606942,0.6760337225668157
88,0.7157286019030958,0.6647147621694053
89,0.6937241058858558,0.6737006910041118
90,0.692014162186324,0.7008258316335567
91,0.7105179769865999,0.7056814344154066
92,0.6945155317501819,0.7063267607032807
93,0.7154489767831815,0.7439568159917055
94,0.7269978183074127,0.6790964033684037
95,0.716153661821633,0.6609222437403183
96,0.7230803543295111,0.667775644866071
97,0.6974197080208132,0.6755309771558273
98,0.6748899642951833,0.6575889778487952
99,0.6880954023997863,0.6493699596602269
100,0.6866786493098119,0.6564622717371692
